tree_id,loc_id,loc,type,classe_drainage,dbh,ratio_hd,height,volume,D_index,defoliation,epid_age,light,dist_from_river
27,b4,b,4,5,17.5,4.685714286,82,55.7,0.38,41.5,5,1027,459
28,b4,b,4,5,17.9,4.469273743,80,58.3,0.38,48.9,5,1415,482
29,c4,c,4,5,18,4.444444444,80,51.5,0.68,2.6,6,1291,360
30,c4,c,4,5,18,4.444444444,80,51,0.68,50.6,6,1175,53
31,d4,d,4,5,20.6,4.223300971,87,77,0.78,18.3,7,1396,631
32,d4,d,4,5,20.8,4.278846154,89,78,0.78,59.6,7,1231,987
33,a1,a,1,1,8.2,8.414634146,69,10.8,0.62,5.3,1,1174,249
34,a1,a,1,1,8.9,7.640449438,68,9.9,0.62,64.9,1,1500,265
35,b1,b,1,1,9.1,6.923076923,63,9.9,0.42,25.9,2,1487,426
36,b1,b,1,1,10.7,6.822429907,73,16.2,0.42,24.7,2,1219,290
37,c1,c,1,1,10.6,7.358490566,78,18.7,0.72,39.2,3,937,729
38,c1,c,1,1,10.5,8,84,19.4,0.72,11.3,3,1239,352
39,d1,d,1,1,11.5,5.652173913,65,15.6,0.82,3,4,1030,809
40,d1,d,1,1,11.3,6.371681416,72,18.7,0.82,16.5,4,1413,386
41,a2,a,2,2,10.6,7.358490566,78,22.2,0.56,43.1,2,1219,749
42,a2,a,2,2,10.8,6.759259259,73,19.4,0.56,39.3,2,966,245
43,b2,b,2,2,11.1,7.387387387,82,24.5,0.36,62.4,3,1231,230
44,b2,b,2,2,11,6.636363636,73,20.6,0.36,62.1,3,1038,986
45,c2,c,2,2,11.2,6.607142857,74,21.8,0.66,11.6,4,1239,955
46,c2,c,2,2,11.2,6.339285714,71,21,0.66,51.2,4,1466,265
47,d2,d,2,2,12.3,6.260162602,77,19.5,0.76,22.1,5,1260,148
48,d2,d,2,2,12.9,5.891472868,76,22.7,0.76,67.8,5,953,989
49,a3,a,3,3,13.3,6.315789474,84,33.8,0.58,18.7,3,1218,134
50,a3,a,3,3,13.6,6.323529412,86,27.6,0.58,17.6,3,1229,380
51,b3,b,3,3,14,5,70,25.3,0.38,29.4,4,1076,107
52,b3,b,3,3,13.4,4.925373134,66,24.6,0.38,13.6,4,1403,320
53,c3,c,3,3,13.9,5.683453237,79,34.8,0.68,65.9,5,1113,854
54,c3,c,3,3,14.6,5.342465753,78,32,0.68,41,5,1090,179
55,d3,d,3,3,14.9,4.966442953,74,36.7,0.78,15.2,6,1079,254
56,d3,d,3,3,16.2,4.50617284,73,38,0.78,28.5,6,1148,991
57,a4,a,4,5,16.2,4.814814815,78,42.6,0.58,18.6,4,1145,177
58,a4,a,4,5,17.8,4.662921348,83,55.2,0.58,61.7,4,1330,328
59,b4,b,4,5,17.6,4.772727273,84,55.2,0.38,40.2,5,1320,558
60,b4,b,4,5,17.7,4.632768362,82,58,0.38,46.2,5,937,556
61,c4,c,4,5,17.7,4.350282486,77,51.5,0.68,68.9,6,1046,433
62,c4,c,4,5,17.6,4.488636364,79,51.4,0.68,34.9,6,1277,915
63,d4,d,4,5,20.5,4.292682927,88,76.7,0.78,36.4,7,975,102
64,d4,d,4,5,21,4.380952381,92,78.4,0.78,55.2,7,1389,682
65,a1,a,1,1,8.6,8.023255814,69,10.5,0.62,10.6,1,1058,593
66,a1,a,1,1,8.6,8.139534884,70,9.4,0.62,40.9,1,1060,526
67,b1,b,1,1,9.5,6.315789474,60,10.1,0.42,41.1,2,983,531
68,b1,b,1,1,10.5,6.952380952,73,16,0.42,1,2,993,736
69,c1,c,1,1,10.4,7.692307692,80,18.4,0.72,50.8,3,1026,984
70,c1,c,1,1,10.5,7.80952381,82,19.5,0.72,20.2,3,1210,59
71,d1,d,1,1,11.9,5.294117647,63,16.1,0.82,65,4,1359,604
72,d1,d,1,1,11.2,6.428571429,72,19.1,0.82,55.6,4,1030,102
73,a2,a,2,2,10.5,7.714285714,81,21.9,0.56,63.5,2,1343,322
74,a2,a,2,2,10.3,6.990291262,72,18.9,0.56,59.1,2,1166,119
75,b2,b,2,2,11.6,6.982758621,81,24.4,0.36,39.5,3,1100,573
76,b2,b,2,2,11.1,6.576576577,73,21,0.36,47,3,1360,793
77,c2,c,2,2,11.4,6.754385965,77,21.9,0.66,62.8,4,1445,373
78,c2,c,2,2,11.6,6.379310345,74,21.3,0.66,47.4,4,1340,355
79,d2,d,2,2,12.4,6.209677419,77,20,0.76,28.8,5,1308,833
80,d2,d,2,2,13.4,5.820895522,78,22.8,0.76,45.7,5,1191,334
81,a3,a,3,3,13.2,6.515151515,86,33.6,0.58,58.2,3,1246,736
82,a3,a,3,3,13.1,6.41221374,84,27.8,0.58,10.6,3,1251,541
83,b3,b,3,3,13.8,5.217391304,72,25.2,0.38,52,4,1196,413
84,b3,b,3,3,13.2,4.924242424,65,24.5,0.38,34.4,4,949,756
85,c3,c,3,3,13.7,5.98540146,82,34.8,0.68,23.6,5,1072,128
86,c3,c,3,3,14.3,5.384615385,77,31.9,0.68,41.4,5,946,793
87,d3,d,3,3,14.5,5.103448276,74,36.7,0.78,63.1,6,1121,505
88,d3,d,3,3,16.7,4.431137725,74,38,0.78,25.7,6,1105,533
89,a4,a,4,5,15.9,5.031446541,80,43,0.58,59,4,1192,167
90,a4,a,4,5,18.1,4.53038674,82,55.1,0.58,4.8,4,1481,400
91,b4,b,4,5,17.4,5,87,55.1,0.38,55.1,5,900,852
92,b4,b,4,5,18,4.388888889,79,57.7,0.38,22.6,5,959,110
93,c4,c,4,5,18,4.277777778,77,51.9,0.68,33.9,6,1335,840
94,c4,c,4,5,18,4.333333333,78,51.7,0.68,55.2,6,1068,934
95,d4,d,4,5,20.1,4.278606965,86,77,0.78,26.5,7,1274,33
96,d4,d,4,5,21,4.523809524,95,78.4,0.78,16.8,7,1486,806
97,a1,a,1,1,9,7.777777778,70,10.6,0.62,20.7,1,1179,464
98,a1,a,1,1,8.3,8.554216867,71,9.8,0.62,19.1,1,1144,842
99,b1,b,1,1,9.1,6.923076923,63,9.8,0.42,28.8,2,932,333
100,b1,b,1,1,10.2,7.352941176,75,15.6,0.42,8.5,2,1285,633
101,c1,c,1,1,10.8,7.592592593,82,18.8,0.72,27.6,3,1166,525
102,c1,c,1,1,10.5,7.80952381,82,20,0.72,29.2,3,1357,307
103,d1,d,1,1,12.2,5.327868852,65,16,0.82,60.4,4,1386,603
104,d1,d,1,1,10.9,6.788990826,74,19.5,0.82,1.1,4,1405,788
105,a2,a,2,2,10,8.2,82,21.6,0.56,12.9,2,972,949
106,a2,a,2,2,9.9,7.474747475,74,19.3,0.56,67,2,949,685
107,b2,b,2,2,11.4,6.929824561,79,23.9,0.36,4.6,3,1088,249
108,b2,b,2,2,10.9,6.788990826,74,21.3,0.36,64.2,3,1267,355
109,c2,c,2,2,11.7,6.41025641,75,22.3,0.66,20.8,4,936,181
110,c2,c,2,2,12,6.333333333,76,21.1,0.66,16,4,1075,100
111,d2,d,2,2,12.5,6.4,80,19.6,0.76,58.8,5,1130,752
112,d2,d,2,2,13.5,5.555555556,75,23.1,0.76,41.5,5,1180,691
113,a3,a,3,3,12.7,6.692913386,85,34,0.58,27.4,3,1366,155
114,a3,a,3,3,13.2,6.363636364,84,27.9,0.58,62.7,3,1424,893
115,b3,b,3,3,14.3,4.825174825,69,25.5,0.38,66.8,4,1380,524
116,b3,b,3,3,13.6,4.926470588,67,24.7,0.38,16.5,4,1241,928
117,c3,c,3,3,13.4,6.194029851,83,34.9,0.68,33.5,5,1356,585
118,c3,c,3,3,14.7,5.442176871,80,31.8,0.68,44.8,5,994,845
119,d3,d,3,3,14.4,5,72,36.6,0.78,8.3,6,1291,972
120,d3,d,3,3,17.1,4.444444444,76,38.4,0.78,69.1,6,1028,655
121,a4,a,4,5,15.7,5.095541401,80,42.5,0.58,2.5,4,1165,187
122,a4,a,4,5,18.6,4.35483871,81,54.7,0.58,47.2,4,1152,898
123,b4,b,4,5,17.2,5,86,54.9,0.38,28.5,5,1256,437
124,b4,b,4,5,18.4,4.184782609,77,58,0.38,68,5,1154,162
125,c4,c,4,5,17.8,4.157303371,74,51.6,0.68,39.5,6,1114,446
126,c4,c,4,5,17.5,4.628571429,81,51.4,0.68,55.8,6,1317,572
127,d4,d,4,5,20.4,4.117647059,84,76.6,0.78,63.4,7,1267,45
128,d4,d,4,5,21.4,4.53271028,97,78.8,0.78,35.4,7,1432,368
129,a1,a,1,1,8.8,7.954545455,70,10.5,0.62,31.7,1,1222,283
130,a1,a,1,1,8.6,8.023255814,69,10.1,0.62,9.7,1,1283,336
131,b1,b,1,1,9.3,6.774193548,63,10,0.42,8.4,2,1287,542
132,b1,b,1,1,10.6,7.075471698,75,15.1,0.42,43.9,2,1156,279
133,c1,c,1,1,11,7.636363636,84,19,0.72,2.6,3,1208,172
134,c1,c,1,1,11,7.454545455,82,20,0.72,22.3,3,1163,404
135,d1,d,1,1,11.7,5.555555556,65,16.4,0.82,8.3,4,900,892
136,d1,d,1,1,11.1,6.666666667,74,19.6,0.82,7.2,4,903,559
137,a2,a,2,2,10.3,8.058252427,83,21.8,0.56,38.1,2,975,296
138,a2,a,2,2,10.2,7.058823529,72,19.7,0.56,22.9,2,930,423
139,b2,b,2,2,11.4,6.929824561,79,24.4,0.36,24.4,3,1000,932
140,b2,b,2,2,11.3,6.814159292,77,20.8,0.36,68.9,3,1280,912
141,c2,c,2,2,11.2,6.964285714,78,22.8,0.66,11,4,1350,847
142,c2,c,2,2,12,6.333333333,76,21.3,0.66,31.8,4,1432,110
143,d2,d,2,2,12.7,6.377952756,81,19.2,0.76,11,5,1102,991
144,d2,d,2,2,14,5.357142857,75,22.7,0.76,37.8,5,1231,111
145,a3,a,3,3,12.3,7.073170732,87,34.2,0.58,1.1,3,1025,834
146,a3,a,3,3,13.6,6.176470588,84,28.2,0.58,39.5,3,1192,515
147,b3,b,3,3,14.5,4.827586207,70,25.7,0.38,55.2,4,1155,372
148,b3,b,3,3,13.6,4.926470588,67,25.2,0.38,64,4,1449,402
149,c3,c,3,3,13,6.230769231,81,34.6,0.68,57.5,5,1122,777
150,c3,c,3,3,14.5,5.517241379,80,32.3,0.68,10.7,5,1496,344
151,d3,d,3,3,14.3,4.895104895,70,37.1,0.78,35.6,6,1011,275
152,d3,d,3,3,17.5,4.342857143,76,38.5,0.78,47.8,6,1045,822
153,a4,a,4,5,15.3,5.22875817,80,42.3,0.58,66.3,4,940,622
154,a4,a,4,5,18.2,4.450549451,81,54.7,0.58,45.1,4,1178,29
155,b4,b,4,5,16.8,5.297619048,89,54.8,0.38,31.2,5,1414,293
156,b4,b,4,5,18,4.277777778,77,57.6,0.38,25.1,5,1408,965
157,c4,c,4,5,18.2,4.010989011,73,51.2,0.68,40.7,6,1460,672
158,c4,c,4,5,17.6,4.545454545,80,51,0.68,3.8,6,1457,610
159,d4,d,4,5,20,4.35,87,76.1,0.78,46.3,7,1448,39
160,d4,d,4,5,21.5,4.372093023,94,78.4,0.78,57.9,7,1257,721
161,a1,a,1,1,8.4,7.976190476,67,11,0.62,48.3,1,959,862
162,a1,a,1,1,8.2,8.048780488,66,9.7,0.62,55.7,1,1267,640
163,b1,b,1,1,9.1,7.142857143,65,9.5,0.42,62.6,2,1298,74
164,b1,b,1,1,10.4,7.115384615,74,15,0.42,21.8,2,1435,880
165,c1,c,1,1,11.2,7.5,84,19.1,0.72,62.5,3,1134,273
166,c1,c,1,1,11.3,6.991150442,79,19.8,0.72,58.1,3,1277,481
167,d1,d,1,1,11.6,5.344827586,62,16.1,0.82,7.8,4,945,26
168,d1,d,1,1,11.2,6.607142857,74,19.4,0.82,28.9,4,1403,99
169,a2,a,2,2,9.8,8.265306122,81,21.4,0.56,25,2,1001,316
170,a2,a,2,2,10.7,6.728971963,72,20.2,0.56,17.7,2,1008,156
171,b2,b,2,2,11.5,6.782608696,78,24.4,0.36,31.7,3,1375,924
172,b2,b,2,2,11.8,6.525423729,77,20.6,0.36,37.8,3,1162,604
173,c2,c,2,2,11.4,7.105263158,81,22.9,0.66,65.4,4,971,714
174,c2,c,2,2,11.5,6.608695652,76,21.5,0.66,61.7,4,1328,30
175,d2,d,2,2,12.4,6.290322581,78,19.3,0.76,9.3,5,1325,967
176,d2,d,2,2,13.9,5.179856115,72,23.2,0.76,33.3,5,1026,132
177,a3,a,3,3,12.8,6.71875,86,34.2,0.58,57.6,3,1491,641
178,a3,a,3,3,13.6,6.25,85,28.3,0.58,37.8,3,1407,767
179,b3,b,3,3,14.9,4.697986577,70,26.2,0.38,38.2,4,965,299
180,b3,b,3,3,13.1,4.885496183,64,25,0.38,28.4,4,986,490
181,c3,c,3,3,13.3,6.240601504,83,34.9,0.68,36.2,5,1428,874
182,c3,c,3,3,14.1,5.460992908,77,31.9,0.68,9.3,5,1296,583
183,d3,d,3,3,14.1,5.106382979,72,36.9,0.78,46.1,6,951,765
184,d3,d,3,3,17.8,4.269662921,76,38.3,0.78,68.9,6,1116,471
185,a4,a,4,5,15,5.266666667,79,42.8,0.58,54.1,4,1339,372
186,a4,a,4,5,18.1,4.419889503,80,54.4,0.58,6.4,4,1039,274
187,b4,b,4,5,16.6,5.421686747,90,54.3,0.38,69.5,5,1117,125
188,b4,b,4,5,18.4,4.184782609,77,57.6,0.38,42.3,5,1452,540
189,c4,c,4,5,18.3,4.153005464,76,51.2,0.68,37.4,6,954,689
190,c4,c,4,5,17.8,4.438202247,79,51.2,0.68,70,6,971,685
191,d4,d,4,5,20.5,4.097560976,84,76.4,0.78,7.7,7,1372,364
192,d4,d,4,5,21.9,4.292237443,94,78.5,0.78,61,7,1063,77
193,a1,a,1,1,8.5,7.647058824,65,10.7,0.62,38.9,1,1500,505
194,a1,a,1,1,7.7,8.701298701,67,10,0.62,37.2,1,1373,793
195,b1,b,1,1,9.2,6.739130435,62,9.8,0.42,3.4,2,1496,352
196,b1,b,1,1,10.6,6.886792453,73,14.5,0.42,27,2,1319,116
197,c1,c,1,1,11.2,7.410714286,83,18.8,0.72,52.2,3,1032,80
198,c1,c,1,1,11.2,7.142857143,80,19.8,0.72,54.4,3,1320,916
199,d1,d,1,1,11.4,5.175438596,59,16.1,0.82,67.9,4,1256,287
200,d1,d,1,1,11.5,6.608695652,76,19.2,0.82,64,4,1469,721
201,a2,a,2,2,10,8,80,21.9,0.56,32.7,2,1221,295
202,a2,a,2,2,11,6.545454545,72,20,0.56,22.4,2,1248,742
203,b2,b,2,2,11.2,7.142857143,80,24.7,0.36,36.4,3,1200,959
204,b2,b,2,2,11.3,6.902654867,78,20.2,0.36,7.6,3,1193,76
205,c2,c,2,2,10.9,7.155963303,78,22.6,0.66,59.3,4,1455,260
206,c2,c,2,2,11.7,6.581196581,77,21.9,0.66,8.6,4,905,903
207,d2,d,2,2,12.1,6.52892562,79,19.3,0.76,11.3,5,1254,339
208,d2,d,2,2,14.2,5.211267606,74,23.7,0.76,27.1,5,1226,824
209,a3,a,3,3,12.8,6.796875,87,34.1,0.58,20.3,3,1010,152
210,a3,a,3,3,14,6.071428571,85,27.8,0.58,52.5,3,1257,311
211,b3,b,3,3,15,4.866666667,73,26.7,0.38,18.4,4,1305,131
212,b3,b,3,3,12.6,5,63,25.1,0.38,56.7,4,1108,368
213,c3,c,3,3,12.8,6.71875,86,34.8,0.68,31.6,5,1332,970
214,c3,c,3,3,14.2,5.633802817,80,32.3,0.68,11.4,5,1116,118
215,d3,d,3,3,13.7,5.03649635,69,37,0.78,62.3,6,1134,497
216,d3,d,3,3,17.6,4.375,77,38.5,0.78,33.5,6,945,816
217,a4,a,4,5,15.5,5.290322581,82,43,0.58,4.8,4,1004,410
218,a4,a,4,5,18.3,4.426229508,81,54.9,0.58,28.8,4,919,928
219,b4,b,4,5,16.1,5.527950311,89,53.8,0.38,30.7,5,1460,461
220,b4,b,4,5,17.9,4.189944134,75,57.3,0.38,4.7,5,1499,280
221,c4,c,4,5,18.8,4.042553191,76,50.8,0.68,25.9,6,1263,657
222,c4,c,4,5,17.4,4.655172414,81,50.8,0.68,51.8,6,1217,751
223,d4,d,4,5,20.6,4.223300971,87,76.4,0.78,20,7,973,314
224,d4,d,4,5,21.9,4.155251142,91,78.8,0.78,36.9,7,1140,561
225,a1,a,1,1,9,7.111111111,64,10.3,0.62,47.2,1,1008,333
226,a1,a,1,1,7.3,9.178082192,67,10.1,0.62,11.2,1,1122,889
227,b1,b,1,1,9,6.777777778,61,10.2,0.42,30.4,2,1116,555
228,b1,b,1,1,11,6.363636364,70,14.5,0.42,19.6,2,1474,415
229,c1,c,1,1,11.7,7.179487179,84,19,0.72,64.8,3,1365,541
230,c1,c,1,1,11.1,7.207207207,80,19.4,0.72,13.5,3,999,137
231,d1,d,1,1,11.3,5.132743363,58,16.6,0.82,11.4,4,962,179
232,d1,d,1,1,11.9,6.554621849,78,19.4,0.82,30.3,4,901,619
233,a2,a,2,2,10.3,7.86407767,81,22.3,0.56,15.5,2,972,222
234,a2,a,2,2,11.3,6.371681416,72,19.8,0.56,17.9,2,958,687
235,b2,b,2,2,10.7,7.289719626,78,24.9,0.36,29.4,3,998,469
236,b2,b,2,2,11,7.272727273,80,19.7,0.36,43,3,1405,62
237,c2,c,2,2,10.7,7.102803738,76,22.9,0.66,21.8,4,1057,656
238,c2,c,2,2,11.9,6.554621849,78,21.5,0.66,36.4,4,1180,745
239,d2,d,2,2,11.9,6.806722689,81,18.8,0.76,58.7,5,1233,167
240,d2,d,2,2,13.9,5.323741007,74,23.9,0.76,62.3,5,1123,686
241,a3,a,3,3,12.3,7.073170732,87,34,0.58,56.2,3,1162,346
242,a3,a,3,3,14.3,5.944055944,85,27.7,0.58,25,3,1400,557
243,b3,b,3,3,14.7,4.829931973,71,26.4,0.38,64,4,905,875
244,b3,b,3,3,12.4,5,62,24.6,0.38,31.3,4,1477,178
245,c3,c,3,3,13.3,6.616541353,88,35,0.68,59.3,5,1046,416
246,c3,c,3,3,13.9,5.683453237,79,32.1,0.68,20.9,5,1042,599
247,d3,d,3,3,14.2,5.070422535,72,37.3,0.78,31.4,6,1375,767
248,d3,d,3,3,17.3,4.335260116,75,38.9,0.78,50.7,6,1266,47
249,a4,a,4,5,15.1,5.496688742,83,43.2,0.58,7.7,4,1131,883
250,a4,a,4,5,18.7,4.22459893,79,55.4,0.58,54.3,4,1446,978
251,b4,b,4,5,16.6,5.481927711,91,54.3,0.38,17.8,5,1010,426
252,b4,b,4,5,17.8,4.213483146,75,57.7,0.38,10.6,5,1006,863
253,c4,c,4,5,19.1,4.083769634,78,50.3,0.68,64.8,6,1143,27
254,c4,c,4,5,17.3,4.682080925,81,50.5,0.68,54.2,6,1124,597
255,d4,d,4,5,20.9,4.306220096,90,76.7,0.78,19,7,1321,784
256,d4,d,4,5,21.4,4.392523364,94,78.5,0.78,40.6,7,919,654
257,a1,a,1,1,9.2,6.847826087,63,10.3,0.62,65,1,952,570
258,a1,a,1,1,6.9,9.420289855,65,9.9,0.62,57.2,1,1475,22
259,b1,b,1,1,8.5,7.294117647,62,10.7,0.42,8.3,2,1322,807
260,b1,b,1,1,10.5,6.380952381,67,14.1,0.42,19.5,2,1022,776
261,c1,c,1,1,11.2,7.321428571,82,19.3,0.72,25.9,3,1371,822
262,c1,c,1,1,10.7,7.757009346,83,19.3,0.72,25.2,3,1463,89
263,d1,d,1,1,11.6,4.913793103,57,17,0.82,51.5,4,977,493
264,d1,d,1,1,11.8,6.694915254,79,19.1,0.82,40.7,4,1494,57
265,a2,a,2,2,10.7,7.289719626,78,22.7,0.56,15.3,2,1226,366
266,a2,a,2,2,10.8,6.574074074,71,19.6,0.56,3.9,2,1386,265
267,b2,b,2,2,11.1,7.207207207,80,24.8,0.36,49.8,3,989,357
268,b2,b,2,2,11,7,77,20,0.36,3.3,3,1450,760
269,c2,c,2,2,11.2,6.785714286,76,23,0.66,66.3,4,1236,340
270,c2,c,2,2,12.3,6.097560976,75,22,0.66,59.5,4,1113,753
271,d2,d,2,2,11.6,6.810344828,79,18.7,0.76,67.8,5,914,637
272,d2,d,2,2,13.4,5.447761194,73,24.4,0.76,38.1,5,1319,296
273,a3,a,3,3,12.8,6.875,88,34,0.58,10.2,3,1429,632
274,a3,a,3,3,14,6.142857143,86,27.4,0.58,10.5,3,1041,77
275,b3,b,3,3,14.2,5,71,26.7,0.38,10.8,4,941,480
276,b3,b,3,3,12.4,5.161290323,64,25.1,0.38,13.5,4,1269,430
277,c3,c,3,3,13,7,91,35.5,0.68,22.1,5,1455,220
278,c3,c,3,3,13.6,5.735294118,78,32.2,0.68,52.4,5,1388,772
279,d3,d,3,3,14.6,5,73,37.6,0.78,16.5,6,1380,636
280,d3,d,3,3,17.8,4.382022472,78,38.4,0.78,14.3,6,1163,792
281,a4,a,4,5,15.2,5.394736842,82,42.9,0.58,68.7,4,996,870
282,a4,a,4,5,18.4,4.402173913,81,55.6,0.58,1.4,4,1235,593
283,b4,b,4,5,16.1,5.590062112,90,54.1,0.38,68.6,5,1410,982
284,b4,b,4,5,17.8,4.213483146,75,57.4,0.38,9.5,5,956,88
285,c4,c,4,5,18.6,4.35483871,81,50.2,0.68,39.4,6,900,140
286,c4,c,4,5,17.1,4.736842105,81,50.1,0.68,31,6,1452,516
287,d4,d,4,5,20.5,4.487804878,92,77,0.78,2.5,7,1028,78
288,d4,d,4,5,21,4.428571429,93,78.9,0.78,67.3,7,1201,595
289,a1,a,1,1,9,6.777777778,61,10.2,0.62,15.8,1,1457,461
290,a1,a,1,1,7.2,8.888888889,64,9.5,0.62,24.2,1,1479,873
291,b1,b,1,1,8.7,7.24137931,63,10.5,0.42,58.4,2,1190,28
292,b1,b,1,1,10.7,6.168224299,66,14.5,0.42,45.3,2,940,587
293,c1,c,1,1,11,7.636363636,84,19.1,0.72,30.2,3,1129,514
294,c1,c,1,1,10.7,7.570093458,81,19.3,0.72,26.9,3,1472,961
295,d1,d,1,1,12,4.916666667,59,17.1,0.82,37.8,4,1354,641
296,d1,d,1,1,11.4,7.01754386,80,18.7,0.82,30.4,4,1421,179
297,a2,a,2,2,10.6,7.452830189,79,22.3,0.56,24.9,2,1271,730
298,a2,a,2,2,11.3,6.017699115,68,19.7,0.56,16.8,2,1132,348
299,b2,b,2,2,10.9,7.064220183,77,25.3,0.36,33.3,3,1406,592
300,b2,b,2,2,10.5,7.428571429,78,20.4,0.36,45.4,3,1409,127
301,c2,c,2,2,11.1,7.027027027,78,22.8,0.66,62.2,4,1322,709
302,c2,c,2,2,12.1,6.280991736,76,22.1,0.66,33.9,4,990,511
303,d2,d,2,2,11.5,6.782608696,78,18.9,0.76,10.1,5,996,864
304,d2,d,2,2,13.9,5.323741007,74,24.9,0.76,17.6,5,1303,489
305,a3,a,3,3,12.4,6.935483871,86,33.5,0.58,64.3,3,1077,253
306,a3,a,3,3,13.5,6.444444444,87,27,0.58,7.3,3,1088,499
307,b3,b,3,3,14.2,5.14084507,73,26.7,0.38,51.8,4,911,747
308,b3,b,3,3,12.2,5.327868852,65,24.8,0.38,59.3,4,1168,386
309,c3,c,3,3,12.6,6.984126984,88,35.8,0.68,47.8,5,1017,906
310,c3,c,3,3,13.8,5.579710145,77,32.4,0.68,22.8,5,1183,755
311,d3,d,3,3,14.4,5.069444444,73,38.1,0.78,58.2,6,1474,262
312,d3,d,3,3,17.6,4.488636364,79,38.7,0.78,33.3,6,1200,312
313,a4,a,4,5,15,5.666666667,85,43.3,0.58,8.6,4,1235,555
314,a4,a,4,5,18.6,4.516129032,84,55.8,0.58,49.1,4,1361,148
315,b4,b,4,5,16.4,5.365853659,88,54,0.38,43.2,5,982,222
316,b4,b,4,5,18.2,4.230769231,77,57.9,0.38,57.9,5,917,699
317,c4,c,4,5,18.3,4.371584699,80,50.6,0.68,59.8,6,961,809
318,c4,c,4,5,16.8,4.761904762,80,49.6,0.68,12.3,6,915,297
319,d4,d,4,5,20.6,4.32038835,89,77.1,0.78,40.5,7,1416,970
320,d4,d,4,5,21.3,4.41314554,94,78.4,0.78,57,7,1020,415
